     locus	chr	    pos	    FLOD
    C1M123	  1	203.740	  -7.318
    C1M124	  1	205.410	  -7.802
    C1M125	  1	207.080	 -11.006
    C1M126	  1	208.750	  -8.114
    C1M127	  1	210.420	  -7.269
    C1M128	  1	212.090	  -5.129
    C1M129	  1	213.760	  -7.688
    C1M130	  1	215.430	  -9.647
    C1M131	  1	217.100	  -5.059
    C1M132	  1	218.770	  -2.785
    C1M133	  1	220.440	  -8.438
    C1M134	  1	222.110	  -8.742
    C1M135	  1	223.780	 -11.090
    C1M136	  1	225.450	  -4.381
    C1M137	  1	227.120	 -11.197
    C1M138	  1	228.790	 -10.733
    C1M139	  1	230.460	 -10.473
    C1M140	  1	232.130	  -5.443
    C1M141	  1	233.800	  -5.595
    C1M142	  1	235.470	  -7.084
    C1M143	  1	237.140	  -8.607
    C1M144	  1	238.810	  -6.482
    C1M145	  1	240.480	  -9.807
    C1M146	  1	242.150	 -12.002
    C1M147	  1	243.820	 -12.457
    C1M148	  1	245.490	 -12.627
    C1M149	  1	247.160	 -12.633
    C1M150	  1	248.830	 -10.543
    C1M151	  1	250.500	 -11.628
    C1M152	  1	252.170	  -7.580
    C1M153	  1	253.840	  -9.640
    C1M154	  1	255.510	 -12.164
    C1M155	  1	257.180	 -10.396
    C1M156	  1	258.850	 -12.833
    C1M157	  1	260.520	  -9.178
    C1M158	  1	262.190	 -17.447
    C1M159	  1	263.860	 -11.306
    C1M160	  1	265.530	 -11.480
    C1M161	  1	267.200	  -9.210
    C1M162	  1	268.870	  -6.517
    C1M163	  1	270.540	  -8.297
    C1M164	  1	272.210	  -6.716
    C1M165	  1	273.880	  -9.011
    C1M166	  1	275.550	 -14.765
    C1M167	  1	277.220	 -16.477
    C1M168	  1	278.890	 -13.162
    C1M169	  1	280.560	  -9.365
    C1M170	  1	282.230	  -8.846
    C1M171	  1	283.900	 -11.301
    C1M172	  1	285.570	  -7.414
    C1M173	  1	287.240	 -11.642
    C1M174	  1	288.910	  -7.293
    C1M175	  1	290.580	 -12.099
    C1M176	  1	292.250	 -13.601
    C1M177	  1	293.920	 -15.464
    C1M178	  1	295.590	 -10.506
    C1M179	  1	297.260	 -12.584
    C1M180	  1	298.930	 -11.533
    C1M181	  1	300.600	  -7.980
      C2M1	  2	  0.000	  -4.068
      C2M2	  2	  1.670	  -5.628
      C2M3	  2	  3.340	 -10.164
      C2M4	  2	  5.010	  -9.170
      C2M5	  2	  6.680	 -12.982
      C2M6	  2	  8.350	 -13.202
      C2M7	  2	 10.020	 -11.098
      C2M8	  2	 11.690	 -12.429
      C2M9	  2	 13.360	 -11.682
     C2M10	  2	 15.030	 -10.487
     C2M11	  2	 16.700	  -5.610
     C2M12	  2	 18.370	  -2.756
     C2M13	  2	 20.040	  -8.003
     C2M14	  2	 21.710	 -10.694
     C2M15	  2	 23.380	  -6.674
     C2M16	  2	 25.050	  -9.208
     C2M17	  2	 26.720	  -7.749
     C2M18	  2	 28.390	  -7.804
     C2M19	  2	 30.060	  -5.324
     C2M20	  2	 31.730	  -3.181
     C2M21	  2	 33.400	  -8.890
     C2M22	  2	 35.070	 -14.870
     C2M23	  2	 36.740	 -12.543
     C2M24	  2	 38.410	  -7.668
     C2M25	  2	 40.080	  -7.883
     C2M26	  2	 41.750	 -17.322
     C2M27	  2	 43.420	 -13.690
     C2M28	  2	 45.090	  -7.409
     C2M29	  2	 46.760	  -8.131
     C2M30	  2	 48.430	  -6.813
     C2M31	  2	 50.100	  -9.020
     C2M32	  2	 51.770	 -10.950
     C2M33	  2	 53.440	  -6.683
     C2M34	  2	 55.110	  -8.495
     C2M35	  2	 56.780	  -8.237
     C2M36	  2	 58.450	  -9.169
     C2M37	  2	 60.120	 -10.438
     C2M38	  2	 61.790	 -15.626
     C2M39	  2	 63.460	 -15.873
     C2M40	  2	 65.130	 -14.094
     C2M41	  2	 66.800	  -6.444
     C2M42	  2	 68.470	  -8.271
     C2M43	  2	 70.140	  -5.907
     C2M44	  2	 71.810	 -10.284
     C2M45	  2	 73.480	  -8.755
     C2M46	  2	 75.150	  -8.757
     C2M47	  2	 76.820	  -8.470
     C2M48	  2	 78.490	 -10.043
     C2M49	  2	 80.160	  -5.923
     C2M50	  2	 81.830	 -13.072
     C2M51	  2	 83.500	  -8.239
     C2M52	  2	 85.170	  -9.922
     C2M53	  2	 86.840	 -13.575
     C2M54	  2	 88.510	 -17.811
     C2M55	  2	 90.180	 -11.264
     C2M56	  2	 91.850	 -11.032
     C2M57	  2	 93.520	 -14.875
     C2M58	  2	 95.190	 -13.251
     C2M59	  2	 96.860	 -13.305
     C2M60	  2	 98.530	  -3.490
     C2M61	  2	100.200	  -6.871
     C2M62	  2	101.870	  -6.599
     C2M63	  2	103.540	  -4.727
     C2M64	  2	105.210	  -5.045
     C2M65	  2	106.880	  -8.310
     C2M66	  2	108.550	 -11.305
     C2M67	  2	110.220	 -13.088
     C2M68	  2	111.890	  -8.495
     C2M69	  2	113.560	  -8.391
     C2M70	  2	115.230	  -8.057
     C2M71	  2	116.900	 -12.577
     C2M72	  2	118.570	 -11.405
     C2M73	  2	120.240	  -5.809
     C2M74	  2	121.910	 -10.475
     C2M75	  2	123.580	  -8.126
     C2M76	  2	125.250	  -7.989
     C2M77	  2	126.920	  -8.533
     C2M78	  2	128.590	  -8.403
     C2M79	  2	130.260	 -13.088
     C2M80	  2	131.930	  -8.955
     C2M81	  2	133.600	  -6.973
     C2M82	  2	135.270	 -10.702
     C2M83	  2	136.940	 -12.969
     C2M84	  2	138.610	 -15.545
     C2M85	  2	140.280	 -13.024
     C2M86	  2	141.950	 -10.630
     C2M87	  2	143.620	 -10.624
     C2M88	  2	145.290	 -13.169
     C2M89	  2	146.960	 -13.026
     C2M90	  2	148.630	 -10.531
     C2M91	  2	150.300	 -10.050
     C2M92	  2	151.970	 -12.390
     C2M93	  2	153.640	 -12.657
     C2M94	  2	155.310	 -12.893
     C2M95	  2	156.980	 -13.464
     C2M96	  2	158.650	 -13.087
     C2M97	  2	160.320	 -12.499
     C2M98	  2	161.990	 -11.411
     C2M99	  2	163.660	  -6.287
    C2M100	  2	165.330	  -9.740
    C2M101	  2	167.000	  -3.652
    C2M102	  2	168.670	  -5.756
    C2M103	  2	170.340	  -1.164
    C2M104	  2	172.010	  -3.515
    C2M105	  2	173.680	  -3.984
    C2M106	  2	175.350	  -7.489
    C2M107	  2	177.020	 -10.729
    C2M108	  2	178.690	  -6.223
    C2M109	  2	180.360	 -10.802
    C2M110	  2	182.030	  -6.527
    C2M111	  2	183.700	  -8.504
    C2M112	  2	185.370	 -11.475
    C2M113	  2	187.040	  -9.959
    C2M114	  2	188.710	 -12.481
    C2M115	  2	190.380	 -11.699
    C2M116	  2	192.050	 -11.268
    C2M117	  2	193.720	  -7.507
    C2M118	  2	195.390	 -11.216
    C2M119	  2	197.060	  -9.382
    C2M120	  2	198.730	 -12.149
    C2M121	  2	200.400	 -12.011
    C2M122	  2	202.070	 -14.092
    C2M123	  2	203.740	  -9.854
    C2M124	  2	205.410	 -11.949
    C2M125	  2	207.080	  -7.253
    C2M126	  2	208.750	  -8.629
    C2M127	  2	210.420	  -8.320
    C2M128	  2	212.090	  -6.304
    C2M129	  2	213.760	  -6.606
    C2M130	  2	215.430	 -10.150
    C2M131	  2	217.100	  -6.364
    C2M132	  2	218.770	  -9.331
    C2M133	  2	220.440	 -12.552
    C2M134	  2	222.110	 -14.097
    C2M135	  2	223.780	  -5.917
    C2M136	  2	225.450	  -4.075
    C2M137	  2	227.120	  -9.184
    C2M138	  2	228.790	 -12.022
    C2M139	  2	230.460	  -9.805
    C2M140	  2	232.130	 -14.623
    C2M141	  2	233.800	 -13.683
    C2M142	  2	235.470	 -18.182
    C2M143	  2	237.140	 -17.154
    C2M144	  2	238.810	  -6.708
    C2M145	  2	240.480	  -8.541
    C2M146	  2	242.150	 -10.953
    C2M147	  2	243.820	  -6.865
    C2M148	  2	245.490	  -8.868
    C2M149	  2	247.160	  -8.261
    C2M150	  2	248.830	  -6.582
    C2M151	  2	250.500	 -11.219
    C2M152	  2	252.170	 -11.379
    C2M153	  2	253.840	 -13.082
    C2M154	  2	255.510	 -12.337
    C2M155	  2	257.180	 -12.194
    C2M156	  2	258.850	 -10.793
    C2M157	  2	260.520	  -3.869
    C2M158	  2	262.190	  -6.016
    C2M159	  2	263.860	  -8.562
    C2M160	  2	265.530	  -8.986
    C2M161	  2	267.200	  -7.924
    C2M162	  2	268.870	  -5.987
    C2M163	  2	270.540	  -8.282
    C2M164	  2	272.210	  -5.917
    C2M165	  2	273.880	  -7.897
    C2M166	  2	275.550	  -4.159
    C2M167	  2	277.220	  -9.569
    C2M168	  2	278.890	  -6.095
    C2M169	  2	280.560	  -8.765
    C2M170	  2	282.230	 -10.847
    C2M171	  2	283.900	  -3.966
    C2M172	  2	285.570	  -5.956
    C2M173	  2	287.240	  -8.110
    C2M174	  2	288.910	 -13.674
    C2M175	  2	290.580	  -8.522
    C2M176	  2	292.250	 -14.346
    C2M177	  2	293.920	  -7.979
    C2M178	  2	295.590	  -9.220
    C2M179	  2	297.260	  -9.118
    C2M180	  2	298.930	 -13.943
    C2M181	  2	300.600	 -11.275
      C3M1	  3	  0.000	  -7.401
      C3M2	  3	  1.670	 -10.753
      C3M3	  3	  3.340	 -13.176
      C3M4	  3	  5.010	  -8.621
      C3M5	  3	  6.680	  -9.681
      C3M6	  3	  8.350	  -4.120
      C3M7	  3	 10.020	  -7.717
      C3M8	  3	 11.690	  -7.895
      C3M9	  3	 13.360	  -8.450
     C3M10	  3	 15.030	 -14.172
     C3M11	  3	 16.700	  -9.314
     C3M12	  3	 18.370	 -17.560
     C3M13	  3	 20.040	 -11.092
     C3M14	  3	 21.710	 -14.215
     C3M15	  3	 23.380	  -7.636
     C3M16	  3	 25.050	  -8.739
     C3M17	  3	 26.720	  -9.260
     C3M18	  3	 28.390	  -9.160
     C3M19	  3	 30.060	 -14.226
     C3M20	  3	 31.730	 -14.038
     C3M21	  3	 33.400	  -7.193
     C3M22	  3	 35.070	  -6.952
     C3M23	  3	 36.740	  -8.071
     C3M24	  3	 38.410	  -6.329
     C3M25	  3	 40.080	 -13.090
     C3M26	  3	 41.750	  -7.306
     C3M27	  3	 43.420	  -9.780
     C3M28	  3	 45.090	  -2.868
     C3M29	  3	 46.760	  -6.382
     C3M30	  3	 48.430	  -2.895
     C3M31	  3	 50.100	  -6.829
     C3M32	  3	 51.770	  -7.352
     C3M33	  3	 53.440	 -11.256
     C3M34	  3	 55.110	 -13.207
     C3M35	  3	 56.780	 -15.282
     C3M36	  3	 58.450	  -7.845
     C3M37	  3	 60.120	  -9.613
     C3M38	  3	 61.790	  -9.862
     C3M39	  3	 63.460	 -12.878
     C3M40	  3	 65.130	 -15.791
     C3M41	  3	 66.800	 -11.591
     C3M42	  3	 68.470	 -18.147
     C3M43	  3	 70.140	 -16.676
     C3M44	  3	 71.810	 -16.305
     C3M45	  3	 73.480	 -14.990
     C3M46	  3	 75.150	 -10.811
     C3M47	  3	 76.820	 -10.370
     C3M48	  3	 78.490	 -13.920
     C3M49	  3	 80.160	 -11.650
     C3M50	  3	 81.830	  -9.870
     C3M51	  3	 83.500	 -10.260
     C3M52	  3	 85.170	 -14.145
     C3M53	  3	 86.840	  -9.617
     C3M54	  3	 88.510	 -10.809
     C3M55	  3	 90.180	  -6.157
     C3M56	  3	 91.850	 -12.593
     C3M57	  3	 93.520	  -8.319
     C3M58	  3	 95.190	  -3.928
     C3M59	  3	 96.860	 -10.225
     C3M60	  3	 98.530	  -4.246
     C3M61	  3	100.200	  -8.225
     C3M62	  3	101.870	 -11.188
     C3M63	  3	103.540	 -10.987
     C3M64	  3	105.210	  -9.220
     C3M65	  3	106.880	 -13.844
     C3M66	  3	108.550	  -9.122
     C3M67	  3	110.220	  -9.270
     C3M68	  3	111.890	 -10.677
     C3M69	  3	113.560	  -8.859
     C3M70	  3	115.230	  -7.992
     C3M71	  3	116.900	  -7.591
     C3M72	  3	118.570	  -5.983
     C3M73	  3	120.240	  -8.683
     C3M74	  3	121.910	 -12.275
     C3M75	  3	123.580	 -12.958
     C3M76	  3	125.250	 -12.696
     C3M77	  3	126.920	 -10.133
     C3M78	  3	128.590	  -8.736
     C3M79	  3	130.260	 -16.546
     C3M80	  3	131.930	  -5.584
     C3M81	  3	133.600	 -11.243
     C3M82	  3	135.270	  -6.876
     C3M83	  3	136.940	  -9.169
     C3M84	  3	138.610	 -11.470
     C3M85	  3	140.280	  -9.806
     C3M86	  3	141.950	 -10.031
     C3M87	  3	143.620	 -11.111
     C3M88	  3	145.290	 -17.015
     C3M89	  3	146.960	  -8.172
     C3M90	  3	148.630	  -7.943
     C3M91	  3	150.300	 -15.401
     C3M92	  3	151.970	 -16.010
     C3M93	  3	153.640	 -17.686
     C3M94	  3	155.310	 -11.522
     C3M95	  3	156.980	  -4.371
     C3M96	  3	158.650	  -8.118
     C3M97	  3	160.320	  -6.926
     C3M98	  3	161.990	 -10.162
     C3M99	  3	163.660	 -13.441
    C3M100	  3	165.330	 -11.934
    C3M101	  3	167.000	  -9.842
    C3M102	  3	168.670	 -10.140
    C3M103	  3	170.340	  -9.422
    C3M104	  3	172.010	  -9.862
    C3M105	  3	173.680	 -13.996
    C3M106	  3	175.350	  -9.053
    C3M107	  3	177.020	 -15.236
    C3M108	  3	178.690	 -10.631
    C3M109	  3	180.360	 -12.912
    C3M110	  3	182.030	 -13.243
    C3M111	  3	183.700	  -6.085
    C3M112	  3	185.370	  -6.238
    C3M113	  3	187.040	 -10.224
    C3M114	  3	188.710	  -6.851
    C3M115	  3	190.380	 -10.753
    C3M116	  3	192.050	  -8.219
    C3M117	  3	193.720	  -8.780
    C3M118	  3	195.390	  -3.867
    C3M119	  3	197.060	  -3.500
    C3M120	  3	198.730	  -1.908
    C3M121	  3	200.400	  -7.368
      C4M1	  4	  0.000	 -16.550
      C4M2	  4	  1.670	 -14.820
      C4M3	  4	  3.340	  -9.893
      C4M4	  4	  5.010	  -9.892
      C4M5	  4	  6.680	 -12.808
      C4M6	  4	  8.350	 -12.956
      C4M7	  4	 10.020	 -10.637
      C4M8	  4	 11.690	 -10.496
      C4M9	  4	 13.360	  -9.959
     C4M10	  4	 15.030	 -10.009
     C4M11	  4	 16.700	  -9.810
     C4M12	  4	 18.370	  -7.804
     C4M13	  4	 20.040	 -14.353
     C4M14	  4	 21.710	 -10.337
     C4M15	  4	 23.380	 -13.011
     C4M16	  4	 25.050	 -15.621
     C4M17	  4	 26.720	 -12.200
     C4M18	  4	 28.390	 -15.896
     C4M19	  4	 30.060	 -15.303
     C4M20	  4	 31.730	 -10.283
     C4M21	  4	 33.400	  -8.470
     C4M22	  4	 35.070	 -12.138
     C4M23	  4	 36.740	  -9.355
     C4M24	  4	 38.410	  -8.287
     C4M25	  4	 40.080	  -5.505
     C4M26	  4	 41.750	  -7.221
     C4M27	  4	 43.420	  -5.587
     C4M28	  4	 45.090	 -11.138
     C4M29	  4	 46.760	 -11.363
     C4M30	  4	 48.430	  -8.763
     C4M31	  4	 50.100	  -8.111
     C4M32	  4	 51.770	  -7.146
     C4M33	  4	 53.440	 -13.674
     C4M34	  4	 55.110	 -18.109
     C4M35	  4	 56.780	 -12.369
     C4M36	  4	 58.450	 -13.571
     C4M37	  4	 60.120	 -15.166
     C4M38	  4	 61.790	  -7.081
     C4M39	  4	 63.460	  -6.654
     C4M40	  4	 65.130	  -9.225
     C4M41	  4	 66.800	 -12.335
     C4M42	  4	 68.470	 -15.566
     C4M43	  4	 70.140	 -12.369
     C4M44	  4	 71.810	  -9.652
     C4M45	  4	 73.480	 -10.420
     C4M46	  4	 75.150	 -12.111
     C4M47	  4	 76.820	 -12.846
     C4M48	  4	 78.490	 -11.038
     C4M49	  4	 80.160	 -10.108
     C4M50	  4	 81.830	 -12.973
     C4M51	  4	 83.500	  -8.430
     C4M52	  4	 85.170	  -8.203
     C4M53	  4	 86.840	 -10.517
     C4M54	  4	 88.510	  -8.943
     C4M55	  4	 90.180	 -11.170
     C4M56	  4	 91.850	  -8.926
     C4M57	  4	 93.520	  -9.110
     C4M58	  4	 95.190	 -12.570
     C4M59	  4	 96.860	 -14.738
     C4M60	  4	 98.530	 -12.364
     C4M61	  4	100.200	  -8.757
     C4M62	  4	101.870	  -5.224
     C4M63	  4	103.540	  -5.112
     C4M64	  4	105.210	  -9.988
     C4M65	  4	106.880	  -5.908
     C4M66	  4	108.550	  -8.480
     C4M67	  4	110.220	 -11.059
     C4M68	  4	111.890	  -6.966
     C4M69	  4	113.560	 -10.305
     C4M70	  4	115.230	 -13.940
     C4M71	  4	116.900	 -15.507
     C4M72	  4	118.570	 -10.388
     C4M73	  4	120.240	  -8.021
     C4M74	  4	121.910	 -11.970
     C4M75	  4	123.580	 -11.717
     C4M76	  4	125.250	 -14.863
     C4M77	  4	126.920	 -12.397
     C4M78	  4	128.590	  -7.170
     C4M79	  4	130.260	 -10.798
     C4M80	  4	131.930	  -4.141
     C4M81	  4	133.600	  -8.417
     C4M82	  4	135.270	  -8.260
     C4M83	  4	136.940	  -9.448
     C4M84	  4	138.610	  -9.424
     C4M85	  4	140.280	  -9.406
     C4M86	  4	141.950	 -10.281
     C4M87	  4	143.620	 -11.760
     C4M88	  4	145.290	 -10.742
     C4M89	  4	146.960	 -11.220
     C4M90	  4	148.630	 -15.383
     C4M91	  4	150.300	 -13.342
     C4M92	  4	151.970	  -9.848
     C4M93	  4	153.640	  -7.309
     C4M94	  4	155.310	  -9.746
     C4M95	  4	156.980	  -7.798
     C4M96	  4	158.650	 -15.696
     C4M97	  4	160.320	 -13.917
     C4M98	  4	161.990	 -17.640
     C4M99	  4	163.660	 -12.394
    C4M100	  4	165.330	  -7.321
    C4M101	  4	167.000	  -7.138
    C4M102	  4	168.670	 -12.019
    C4M103	  4	170.340	 -10.580
    C4M104	  4	172.010	 -17.204
    C4M105	  4	173.680	 -11.827
    C4M106	  4	175.350	 -15.365
    C4M107	  4	177.020	 -12.492
    C4M108	  4	178.690	  -9.273
    C4M109	  4	180.360	  -7.198
    C4M110	  4	182.030	  -8.704
    C4M111	  4	183.700	  -7.247
    C4M112	  4	185.370	 -14.607
    C4M113	  4	187.040	 -13.101
    C4M114	  4	188.710	 -11.822
    C4M115	  4	190.380	 -15.486
    C4M116	  4	192.050	 -10.172
    C4M117	  4	193.720	  -8.689
    C4M118	  4	195.390	  -8.126
    C4M119	  4	197.060	  -7.649
    C4M120	  4	198.730	  -4.620
    C4M121	  4	200.400	  -3.335
      C5M1	  5	  0.000	  -4.252
      C5M2	  5	  1.670	  -7.416
      C5M3	  5	  3.340	  -7.809
      C5M4	  5	  5.010	 -14.755
      C5M5	  5	  6.680	 -16.380
      C5M6	  5	  8.350	 -14.155
      C5M7	  5	 10.020	 -13.014
      C5M8	  5	 11.690	 -10.037
      C5M9	  5	 13.360	  -5.511
     C5M10	  5	 15.030	 -14.112
     C5M11	  5	 16.700	 -10.356
     C5M12	  5	 18.370	  -9.810
     C5M13	  5	 20.040	 -12.531
     C5M14	  5	 21.710	 -13.274
     C5M15	  5	 23.380	 -17.152
     C5M16	  5	 25.050	  -8.373
     C5M17	  5	 26.720	 -10.289
     C5M18	  5	 28.390	 -10.624
     C5M19	  5	 30.060	  -5.964
     C5M20	  5	 31.730	  -7.810
     C5M21	  5	 33.400	  -7.738
     C5M22	  5	 35.070	  -6.428
     C5M23	  5	 36.740	  -8.379
     C5M24	  5	 38.410	 -10.813
     C5M25	  5	 40.080	  -9.715
     C5M26	  5	 41.750	 -12.039
     C5M27	  5	 43.420	 -14.044
     C5M28	  5	 45.090	 -13.224
     C5M29	  5	 46.760	 -12.550
     C5M30	  5	 48.430	  -8.357
     C5M31	  5	 50.100	 -12.851
     C5M32	  5	 51.770	 -15.072
     C5M33	  5	 53.440	 -12.739
     C5M34	  5	 55.110	 -10.689
     C5M35	  5	 56.780	 -10.445
     C5M36	  5	 58.450	 -13.500
     C5M37	  5	 60.120	 -13.107
     C5M38	  5	 61.790	 -12.599
     C5M39	  5	 63.460	  -9.107
     C5M40	  5	 65.130	 -11.112
     C5M41	  5	 66.800	  -8.976
     C5M42	  5	 68.470	  -9.407
     C5M43	  5	 70.140	 -13.646
     C5M44	  5	 71.810	  -9.817
     C5M45	  5	 73.480	 -12.063
     C5M46	  5	 75.150	  -9.358
     C5M47	  5	 76.820	 -12.629
     C5M48	  5	 78.490	 -12.532
     C5M49	  5	 80.160	 -10.403
     C5M50	  5	 81.830	 -11.868
     C5M51	  5	 83.500	  -9.008
     C5M52	  5	 85.170	  -8.860
     C5M53	  5	 86.840	  -9.328
     C5M54	  5	 88.510	 -15.029
     C5M55	  5	 90.180	  -5.289
     C5M56	  5	 91.850	  -6.591
     C5M57	  5	 93.520	 -10.962
     C5M58	  5	 95.190	  -9.208
     C5M59	  5	 96.860	  -9.585
     C5M60	  5	 98.530	 -12.317
     C5M61	  5	100.200	 -12.400
     C5M62	  5	101.870	 -10.370
     C5M63	  5	103.540	 -10.140
     C5M64	  5	105.210	 -11.958
     C5M65	  5	106.880	  -9.565
     C5M66	  5	108.550	  -7.654
     C5M67	  5	110.220	 -12.034
     C5M68	  5	111.890	 -12.074
     C5M69	  5	113.560	  -7.256
     C5M70	  5	115.230	  -8.672
     C5M71	  5	116.900	  -5.299
     C5M72	  5	118.570	 -14.668
     C5M73	  5	120.240	 -18.215
     C5M74	  5	121.910	 -17.776
     C5M75	  5	123.580	  -9.794
     C5M76	  5	125.250	  -7.543
     C5M77	  5	126.920	  -9.627
     C5M78	  5	128.590	 -14.250
     C5M79	  5	130.260	 -10.136
     C5M80	  5	131.930	 -10.789
     C5M81	  5	133.600	 -15.063
     C5M82	  5	135.270	 -13.085
     C5M83	  5	136.940	  -9.608
     C5M84	  5	138.610	 -17.698
     C5M85	  5	140.280	 -13.503
     C5M86	  5	141.950	 -13.085
     C5M87	  5	143.620	  -9.514
     C5M88	  5	145.290	  -9.460
     C5M89	  5	146.960	 -14.619
     C5M90	  5	148.630	 -14.919
     C5M91	  5	150.300	 -10.736
     C5M92	  5	151.970	 -10.021
     C5M93	  5	153.640	 -11.158
     C5M94	  5	155.310	 -17.071
     C5M95	  5	156.980	  -9.467
     C5M96	  5	158.650	  -8.528
     C5M97	  5	160.320	  -6.116
     C5M98	  5	161.990	  -6.163
     C5M99	  5	163.660	  -8.713
    C5M100	  5	165.330	 -10.696
    C5M101	  5	167.000	 -11.330
    C5M102	  5	168.670	 -10.657
    C5M103	  5	170.340	 -14.313
    C5M104	  5	172.010	  -6.326
    C5M105	  5	173.680	 -12.620
    C5M106	  5	175.350	 -17.722
    C5M107	  5	177.020	 -16.075
    C5M108	  5	178.690	 -14.098
    C5M109	  5	180.360	 -13.249
    C5M110	  5	182.030	 -12.081
    C5M111	  5	183.700	  -6.665
    C5M112	  5	185.370	  -9.013
    C5M113	  5	187.040	 -11.287
    C5M114	  5	188.710	  -6.325
    C5M115	  5	190.380	  -5.365
