    family	     locus	chr	    pos	    FLOD
         1	    C6M106	  6	175.350	  -0.473
         1	    C6M109	  6	180.360	  -3.347
         1	    C6M112	  6	185.370	  -3.347
         1	    C6M115	  6	190.380	  -0.473
         1	    C6M118	  6	195.390	  -3.348
         1	    C6M121	  6	200.400	  -3.485
         1	      C7M1	  7	  0.000	  -3.139
         1	      C7M4	  7	  5.010	  -1.064
         1	      C7M7	  7	 10.020	  -3.622
         1	     C7M10	  7	 15.030	  -3.777
         1	     C7M13	  7	 20.040	  -3.776
         1	     C7M16	  7	 25.050	  -3.349
         1	     C7M19	  7	 30.060	  -0.473
         1	     C7M22	  7	 35.070	  -3.349
         1	     C7M25	  7	 40.080	  -3.580
         1	     C7M28	  7	 45.090	  -0.942
         1	     C7M31	  7	 50.100	  -3.580
         1	     C7M34	  7	 55.110	  -3.347
         1	     C7M37	  7	 60.120	  -0.470
         1	     C7M40	  7	 65.130	  -2.523
         1	     C7M43	  7	 70.140	  -0.470
         1	     C7M46	  7	 75.150	  -3.347
         1	     C7M49	  7	 80.160	  -3.776
         1	     C7M52	  7	 85.170	  -3.777
         1	     C7M55	  7	 90.180	  -3.775
         1	     C7M58	  7	 95.190	  -3.007
         1	     C7M61	  7	100.200	  -0.009
         1	     C7M64	  7	105.210	  -0.129
         1	     C7M67	  7	110.220	  -3.105
         1	     C7M70	  7	115.230	  -3.775
         1	     C7M73	  7	120.240	  -3.581
         1	     C7M76	  7	125.250	  -0.942
         1	     C7M79	  7	130.260	  -3.581
         1	     C7M82	  7	135.270	  -3.777
         1	     C7M85	  7	140.280	  -3.777
         1	     C7M88	  7	145.290	  -3.777
         1	     C7M91	  7	150.300	  -3.777
         1	     C7M94	  7	155.310	  -3.777
         1	     C7M97	  7	160.320	  -3.777
         1	    C7M100	  7	165.330	  -3.777
         1	    C7M103	  7	170.340	  -3.777
         1	    C7M106	  7	175.350	  -3.622
         1	    C7M109	  7	180.360	  -1.066
         1	    C7M112	  7	185.370	  -3.622
         1	    C7M115	  7	190.380	  -3.777
         1	    C7M118	  7	195.390	  -3.777
         1	    C7M121	  7	200.400	  -3.487
         1	      C8M1	  8	  0.000	  -3.487
         1	      C8M4	  8	  5.010	  -3.777
         1	      C8M7	  8	 10.020	  -3.777
         1	     C8M10	  8	 15.030	  -3.757
         1	     C8M13	  8	 20.040	  -2.028
         1	     C8M16	  8	 25.050	   1.043
         1	     C8M19	  8	 30.060	   1.091
         1	     C8M22	  8	 35.070	   1.113
         1	     C8M25	  8	 40.080	   1.121
         1	     C8M28	  8	 45.090	   1.121
         1	     C8M31	  8	 50.100	   1.116
         1	     C8M34	  8	 55.110	   1.067
         1	     C8M37	  8	 60.120	  -2.005
         1	     C8M40	  8	 65.130	  -3.733
         1	     C8M43	  8	 70.140	  -2.022
         1	     C8M46	  8	 75.150	   1.049
         1	     C8M49	  8	 80.160	   1.097
         1	     C8M52	  8	 85.170	   1.119
         1	     C8M55	  8	 90.180	   1.122
         1	     C8M58	  8	 95.190	   1.122
         1	     C8M61	  8	100.200	   1.121
         1	     C8M64	  8	105.210	   1.121
         1	     C8M67	  8	110.220	   1.122
         1	     C8M70	  8	115.230	   1.122
         1	     C8M73	  8	120.240	   1.122
         1	     C8M76	  8	125.250	   1.122
         1	     C8M79	  8	130.260	   1.122
         1	     C8M82	  8	135.270	   1.122
         1	     C8M85	  8	140.280	   1.122
         1	     C8M88	  8	145.290	   1.121
         1	     C8M91	  8	150.300	   1.112
         1	      C9M1	  9	  0.000	   0.227
         1	      C9M4	  9	  5.010	  -2.804
         1	      C9M7	  9	 10.020	  -3.773
         1	     C9M10	  9	 15.030	  -3.347
         1	     C9M13	  9	 20.040	  -0.470
         1	     C9M16	  9	 25.050	  -2.523
         1	     C9M19	  9	 30.060	  -0.470
         1	     C9M22	  9	 35.070	  -3.346
         1	     C9M25	  9	 40.080	  -3.364
         1	     C9M28	  9	 45.090	  -0.500
         1	     C9M31	  9	 50.100	  -0.463
         1	     C9M34	  9	 55.110	  -3.343
         1	     C9M37	  9	 60.120	  -3.776
         1	     C9M40	  9	 65.130	  -3.777
         1	     C9M43	  9	 70.140	  -3.777
         1	     C9M46	  9	 75.150	  -3.777
         1	     C9M49	  9	 80.160	  -3.777
         1	     C9M52	  9	 85.170	  -3.776
         1	     C9M55	  9	 90.180	  -3.349
         1	     C9M58	  9	 95.190	  -0.473
         1	     C9M61	  9	100.200	  -3.347
         1	     C9M64	  9	105.210	  -3.347
         1	     C9M67	  9	110.220	  -0.473
         1	     C9M70	  9	115.230	  -3.349
         1	     C9M73	  9	120.240	  -3.776
         1	     C9M76	  9	125.250	  -3.776
         1	     C9M79	  9	130.260	  -3.347
         1	     C9M82	  9	135.270	  -0.470
         1	     C9M85	  9	140.280	  -2.521
         1	     C9M88	  9	145.290	  -0.469
         1	     C9M91	  9	150.300	  -2.720
         1	     C10M1	 10	  0.000	  -3.487
         1	     C10M4	 10	  5.010	  -3.777
         1	     C10M7	 10	 10.020	  -3.777
         1	    C10M10	 10	 15.030	  -3.777
         1	    C10M13	 10	 20.040	  -3.777
         1	    C10M16	 10	 25.050	  -3.777
         1	    C10M19	 10	 30.060	  -3.777
         1	    C10M22	 10	 35.070	  -3.581
         1	    C10M25	 10	 40.080	  -0.942
         1	    C10M28	 10	 45.090	  -3.581
         1	    C10M31	 10	 50.100	  -3.777
         1	    C10M34	 10	 55.110	  -3.777
         1	    C10M37	 10	 60.120	  -3.776
         1	    C10M40	 10	 65.130	  -3.345
         1	    C10M43	 10	 70.140	  -0.467
         1	    C10M46	 10	 75.150	  -2.216
         1	    C10M49	 10	 80.160	  -0.126
         1	    C10M52	 10	 85.170	  -0.007
         1	    C10M55	 10	 90.180	  -3.005
         1	    C10M58	 10	 95.190	  -3.775
         1	    C10M61	 10	100.200	  -3.777
         1	    C10M64	 10	105.210	  -3.777
         1	    C10M67	 10	110.220	  -3.777
         1	    C10M70	 10	115.230	  -3.777
         1	    C10M73	 10	120.240	  -3.777
         1	    C10M76	 10	125.250	  -3.777
         1	    C10M79	 10	130.260	  -3.777
         1	    C10M82	 10	135.270	  -3.777
         1	    C10M85	 10	140.280	  -3.776
         1	    C10M88	 10	145.290	  -3.255
         1	    C10M91	 10	150.300	  -0.332
         1	     C11M1	 11	  0.000	  -3.485
         1	     C11M4	 11	  5.010	  -3.348
         1	     C11M7	 11	 10.020	  -0.473
         1	    C11M10	 11	 15.030	  -3.349
         1	    C11M13	 11	 20.040	  -3.776
         1	    C11M16	 11	 25.050	  -3.777
         1	    C11M19	 11	 30.060	  -3.581
         1	    C11M22	 11	 35.070	  -0.942
         1	    C11M25	 11	 40.080	  -3.581
         1	    C11M28	 11	 45.090	  -3.777
         1	    C11M31	 11	 50.100	  -3.777
         1	    C11M34	 11	 55.110	  -3.777
         1	    C11M37	 11	 60.120	  -3.777
         1	    C11M40	 11	 65.130	  -3.777
         1	    C11M43	 11	 70.140	  -3.777
         1	    C11M46	 11	 75.150	  -3.777
         1	    C11M49	 11	 80.160	  -3.777
         1	    C11M52	 11	 85.170	  -3.777
         1	    C11M55	 11	 90.180	  -3.777
         1	    C11M58	 11	 95.190	  -3.776
         1	    C11M61	 11	100.200	  -3.105
         1	    C11M64	 11	105.210	  -0.129
         1	    C11M67	 11	110.220	  -0.009
         1	    C11M70	 11	115.230	  -3.007
         1	    C11M73	 11	120.240	  -3.775
         1	    C11M76	 11	125.250	  -3.777
         1	    C11M79	 11	130.260	  -3.777
         1	    C11M82	 11	135.270	  -3.777
         1	    C11M85	 11	140.280	  -3.777
         1	    C11M88	 11	145.290	  -3.777
         1	    C11M91	 11	150.300	  -3.487
         1	     C12M1	 12	  0.000	   1.112
         1	     C12M4	 12	  5.010	   1.121
         1	     C12M7	 12	 10.020	   1.121
         1	    C12M10	 12	 15.030	   1.118
         1	    C12M13	 12	 20.040	   1.114
         1	    C12M16	 12	 25.050	   1.065
         1	    C12M19	 12	 30.060	  -2.007
         1	    C12M22	 12	 35.070	  -3.756
         1	    C12M25	 12	 40.080	  -3.777
         1	    C12M28	 12	 45.090	  -3.777
         1	    C12M31	 12	 50.100	  -3.777
         1	    C12M34	 12	 55.110	  -3.777
         1	    C12M37	 12	 60.120	  -3.777
         1	    C12M40	 12	 65.130	  -3.757
         1	    C12M43	 12	 70.140	  -2.028
         1	    C12M46	 12	 75.150	   1.043
         1	    C12M49	 12	 80.160	   1.092
         1	    C12M52	 12	 85.170	   1.091
         1	    C12M55	 12	 90.180	   1.077
         1	    C12M58	 12	 95.190	   1.029
         1	    C12M61	 12	100.200	  -2.042
         1	    C12M64	 12	105.210	  -3.758
         1	    C12M67	 12	110.220	  -3.777
         1	    C12M70	 12	115.230	  -3.777
         1	    C12M73	 12	120.240	  -3.777
         1	    C12M76	 12	125.250	  -3.777
         1	    C12M79	 12	130.260	  -3.777
         1	    C12M82	 12	135.270	  -3.777
         1	    C12M85	 12	140.280	  -3.774
         1	    C12M88	 12	145.290	  -2.804
         1	    C12M91	 12	150.300	   0.227
         1	     C13M1	 13	  0.000	  -3.487
         1	     C13M4	 13	  5.010	  -3.777
         1	     C13M7	 13	 10.020	  -3.776
         1	    C13M10	 13	 15.030	  -3.349
         1	    C13M13	 13	 20.040	  -0.473
         1	    C13M16	 13	 25.050	  -3.349
         1	    C13M19	 13	 30.060	  -3.776
         1	    C13M22	 13	 35.070	  -3.777
         1	    C13M25	 13	 40.080	  -3.777
         1	    C13M28	 13	 45.090	  -3.777
         1	    C13M31	 13	 50.100	  -3.777
         1	    C13M34	 13	 55.110	  -3.776
         1	    C13M37	 13	 60.120	  -3.349
         1	    C13M40	 13	 65.130	  -0.473
         1	    C13M43	 13	 70.140	  -3.349
         1	    C13M46	 13	 75.150	  -3.776
         1	    C13M49	 13	 80.160	  -3.777
         1	    C13M52	 13	 85.170	  -3.777
         1	    C13M55	 13	 90.180	  -3.777
         1	    C13M58	 13	 95.190	  -3.777
         1	    C13M61	 13	100.200	  -3.487
         1	     C14M1	 14	  0.000	   0.227
         1	     C14M4	 14	  5.010	  -2.804
         1	     C14M7	 14	 10.020	  -3.774
         1	    C14M10	 14	 15.030	  -3.777
         1	    C14M13	 14	 20.040	  -3.776
         1	    C14M16	 14	 25.050	  -3.349
         1	    C14M19	 14	 30.060	  -0.472
         1	    C14M22	 14	 35.070	  -2.882
         1	    C14M25	 14	 40.080	  -0.939
         1	    C14M28	 14	 45.090	  -3.580
         1	    C14M31	 14	 50.100	  -3.777
         1	    C14M34	 14	 55.110	  -3.777
         1	    C14M37	 14	 60.120	  -3.777
         1	    C14M40	 14	 65.130	  -3.622
         1	    C14M43	 14	 70.140	  -1.066
         1	    C14M46	 14	 75.150	  -3.622
         1	    C14M49	 14	 80.160	  -3.777
         1	    C14M52	 14	 85.170	  -3.777
         1	    C14M55	 14	 90.180	  -3.774
         1	    C14M58	 14	 95.190	  -2.804
         1	    C14M61	 14	100.200	   0.227
         1	     C15M1	 15	  0.000	  -0.332
         1	     C15M4	 15	  5.010	  -3.255
         1	     C15M7	 15	 10.020	  -3.776
         1	    C15M10	 15	 15.030	  -3.777
         1	    C15M13	 15	 20.040	  -3.776
         1	    C15M16	 15	 25.050	  -3.347
         1	    C15M19	 15	 30.060	  -0.470
         1	    C15M22	 15	 35.070	  -2.523
         1	    C15M25	 15	 40.080	  -0.470
         1	    C15M28	 15	 45.090	  -3.347
         1	    C15M31	 15	 50.100	  -3.776
         1	    C15M34	 15	 55.110	  -3.777
         1	    C15M37	 15	 60.120	  -3.776
         1	    C15M40	 15	 65.130	  -3.349
         1	    C15M43	 15	 70.140	  -0.473
         1	    C15M46	 15	 75.150	  -3.349
         1	    C15M49	 15	 80.160	  -3.776
         1	    C15M52	 15	 85.170	  -3.346
         1	    C15M55	 15	 90.180	  -0.468
         1	    C15M58	 15	 95.190	  -2.292
         1	    C15M61	 15	100.200	  -0.209
         1	     C16M1	 16	  0.000	   0.227
         1	     C16M4	 16	  5.010	  -2.804
         1	     C16M7	 16	 10.020	  -3.774
         1	    C16M10	 16	 15.030	  -3.777
         1	    C16M13	 16	 20.040	  -3.776
         1	    C16M16	 16	 25.050	  -3.349
         1	    C16M19	 16	 30.060	  -0.473
         1	    C16M22	 16	 35.070	  -3.349
         1	    C16M25	 16	 40.080	  -3.621
         1	    C16M28	 16	 45.090	  -1.066
         1	    C16M31	 16	 50.100	  -3.594
         1	    C16M34	 16	 55.110	  -2.188
         1	    C16M37	 16	 60.120	   0.879
         1	    C16M40	 16	 65.130	   1.048
         1	    C16M43	 16	 70.140	   1.111
         1	    C16M46	 16	 75.150	   1.117
         1	    C16M49	 16	 80.160	   1.113
         1	    C16M52	 16	 85.170	   1.064
         1	    C16M55	 16	 90.180	  -2.002
         1	    C16M58	 16	 95.190	  -3.094
         1	    C16M61	 16	100.200	  -0.212
         1	     C17M1	 17	  0.000	   1.100
         1	     C17M4	 17	  5.010	   1.107
         1	     C17M7	 17	 10.020	   1.091
         1	    C17M10	 17	 15.030	   0.922
         1	    C17M13	 17	 20.040	  -2.147
         1	    C17M16	 17	 25.050	  -3.762
         1	    C17M19	 17	 30.060	  -3.777
         1	    C17M22	 17	 35.070	  -3.777
         1	    C17M25	 17	 40.080	  -3.777
         1	    C17M28	 17	 45.090	  -3.777
         1	    C17M31	 17	 50.100	  -3.777
         1	    C17M34	 17	 55.110	  -3.777
         1	    C17M37	 17	 60.120	  -3.622
         1	    C17M40	 17	 65.130	  -1.066
         1	    C17M43	 17	 70.140	  -3.622
         1	    C17M46	 17	 75.150	  -3.772
         1	    C17M49	 17	 80.160	  -2.641
         1	    C17M52	 17	 85.170	   0.405
         1	    C17M55	 17	 90.180	   0.405
         1	    C17M58	 17	 95.190	  -2.639
         1	    C17M61	 17	100.200	  -3.474
         1	     C18M1	 18	  0.000	  -3.485
         1	     C18M4	 18	  5.010	  -3.348
         1	     C18M7	 18	 10.020	  -0.473
         1	    C18M10	 18	 15.030	  -3.349
         1	    C18M13	 18	 20.040	  -3.776
         1	    C18M16	 18	 25.050	  -3.777
         1	    C18M19	 18	 30.060	  -3.777
         1	    C18M22	 18	 35.070	  -3.777
         1	    C18M25	 18	 40.080	  -3.777
         1	    C18M28	 18	 45.090	  -3.777
         1	    C18M31	 18	 50.100	  -3.777
         1	    C18M34	 18	 55.110	  -3.777
         1	    C18M37	 18	 60.120	  -3.777
         1	    C18M40	 18	 65.130	  -3.777
         1	    C18M43	 18	 70.140	  -3.777
         1	    C18M46	 18	 75.150	  -3.777
         1	    C18M49	 18	 80.160	  -3.777
         1	    C18M52	 18	 85.170	  -3.622
         1	    C18M55	 18	 90.180	  -1.066
         1	    C18M58	 18	 95.190	  -3.622
         1	    C18M61	 18	100.200	  -3.487
         1	     C19M1	 19	  0.000	   0.227
         1	     C19M4	 19	  5.010	  -2.804
         1	     C19M7	 19	 10.020	  -3.774
         1	    C19M10	 19	 15.030	  -3.777
         1	    C19M13	 19	 20.040	  -3.777
         1	    C19M16	 19	 25.050	  -3.777
         1	    C19M19	 19	 30.060	  -3.777
         1	    C19M22	 19	 35.070	  -3.777
         1	    C19M25	 19	 40.080	  -3.777
         1	    C19M28	 19	 45.090	  -3.777
         1	    C19M31	 19	 50.100	  -3.777
         1	    C19M34	 19	 55.110	  -3.777
